SKU,Scanned_OH_Count,Description,DRS Cost
S002374351,0,Jewelry ( 2bracelets),0.6
S002374402,0,MT S Sleeve,3.25
S002374616,0,WT T-Shirt L/S,2.1
S002374645,0,Jewelry,0.4
S002374671,0,WB Denim,6.5
S002374704,0,WT S Sleeve,1.8
S002374801,0,MA Shorts,5.2
S002374816,0,WB Denim,13.2
S002374894,0,WA Pants,4.2
S002374931,0,WB Pants,4.5
S002374970,0,WB Denim,7.26
S002374971,0,WB Denim,4.8
S002374976,0,WT T-Shirt L/S,1.5
S002374978,0,WA Shorts,3
S002374997,0,MT LW Sweatshirt,3.25
S002375122,0,MT L Sleeve / Switch Remarkable,2.4
S002375144,0,MT LW Sweatshirt,4.55
S002375158,0,MT T-Shirt,2.1
S002375173,0,WA Tank,6.5
S002375241,0,MB Denim,6.18
S002375268,0,WD Dress Short,2.4
S002375298,0,WD Dress Short,2.4
S002375321,0,MO Light,9.5
S002375325,0,MT L Sleeve,2.4
S002375327,0,MA Pants,3
S002375335,0,WB Denim,3.9
S002375367,0,MT T-Shirt,1.5
S002375407,0,Purse Small,11.4
S002375422,0,WT T-Shirt,3.25
S002375428,0,WA Shorts,2.1
S002375431,0,WA Tank,3
S002375480,0,MA Pants,5.2
S002375548,0,WT T-Shirt,1.5
S002375651,0,WA Shorts,3
S002375762,0,WT T-Shirt,2.4
S002375886,0,MA Pants,5.2
S002375904,0,WA Short Sleeve,2.1
S002375967,0,Purse Small,4.9
S002375973,0,WD Dress Short,1.8
S002376107,0,Purse Large,2.4
S002376203,0,WT T-Shirt,1.5
S002376299,0,WA Short Sleeve,2.1
S002376473,0,MA Jacket,2.4
S002376626,0,Jewelry / small gold hoops w/ pearls,0.8
S002376631,0,Jewelry ( 2goldbracelets),1.5
S002376642,0,Jewelry / skull,0.8
S002376645,0,Jewelry / ring w/ heart,0.8
S002376646,0,Jewelry / ring w/ little dimonds,0.8
S002376748,0,WB Shorts,3.6
S002376796,0,WB Shorts,2.4
S002376816,0,WA Shorts,2.1
S002376824,0,WA Pants,9.5
S002376825,0,WA Pants,9.5
S002376836,0,WB Pants,3.9
S002376853,0,WB Denim,4.8
S002376875,0,Bralette,1.3
S002376908,0,MA Pants,10
S002376923,0,MT LW Sweatshirt,2.4
S002376966,0,MT S Sleeve,1.25
S002377013,0,earrings/Betsey Johnson,1.5
S002377130,0,WT LW Sweater,3.9
S002377162,0,MT T-Shirt/loiter,1.8
S002377172,0,WT T-Shirt/rollingstones,1.8
S002377199,0,WO Light,3.3
S002377340,0,WT LW Sweatshirt,2.4
S002377357,0,MT T-Shirt,1.07
S002377358,0,MT LW Sweatshirt,3.25
S002377359,0,MB Denim,6.5
S002377360,0,MB Pants,3.9
S002377361,0,MB Denim,4.2
S002377362,0,MB Denim,4.2
S002377453,0,WT T-Shirt,2.4
S002377505,0,WT T-Shirt,1.8
S002377510,0,WD Dress Long,4.67
S002377516,0,W Boots Syn,4.9
S002377546,0,M Athletic Shoe / white blue,15.2
S002377610,0,MB Shorts,3.9
S002377907,0,MT T-Shirt,1.8
S002378026,0,MB Denim,6.18
S002378039,0,WT T-Shirt L/S,2.4
S002378085,0,W Athletic Shoe/921733-104,6.84
S002378135,0,WD Dress Short,3.96
S002378144,0,MT T-Shirt/SELENA,1.8
S002378276,0,WA Skirt,3.6
S002378319,0,WT Long Sleeve,3
S002378407,0,WD Dress Short,2.7
S002378408,0,WB Skirt Short,1.95
S002378410,0,WB Skirt Short/white,2.6
S002378411,0,WB Skirt Short/white,2.6
S002378412,0,WD Jumpsuit,3
S002378413,0,WT Long Sleeve,2.4
S002378414,0,WT Long Sleeve,2.4
S002378437,0,Sports Bra,4.2
S002378443,0,Jewelry/gold thick,9.5
S002378447,0,Jewelry/gold thin,8.36
S002378474,0,MT T-Shirt/buc-cees,1.8
S002378484,0,WB Denim,3.9
S002378485,0,Hat,2.4
S002378527,0,WT Long Sleeve,3.9
